player_name,matches_played,innings,total_runs,total_wickets,strike_rate,batting_average,economy,bowling_average,highest_score,highest_score_opponent,best_bowling,best_bowling_opponent,hundreds,fifties,teams_played
"HC Brook",11,11,190,NULL,119.50,21.11,NULL,NULL,100,"Kolkata Knight Riders",NULL,NULL,1,NULL,"Sunrisers Hyderabad"
"HE van der Dussen",3,3,22,NULL,88.00,11.00,NULL,NULL,12,"Delhi Capitals",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"HF Gurney",8,1,1,7,20.00,NULL,8.85,34.14,1,"Chennai Super Kings",2/25,"Rajasthan Royals",NULL,NULL,"Kolkata Knight Riders"
"HH Gibbs",36,36,886,NULL,105.85,28.58,NULL,NULL,69,"Chennai Super Kings",NULL,NULL,NULL,6,"Deccan Chargers
Mumbai Indians"
"HH Pandya",134,131,2534,64,139.69,29.47,9.29,34.31,91,"Kolkata Knight Riders",3/17,"Rajasthan Royals",NULL,10,"Gujarat Titans
Mumbai Indians"
"HM Amla",16,16,577,NULL,138.04,44.38,NULL,NULL,104,"Mumbai Indians",NULL,NULL,2,3,"Punjab Kings"
"HR Shokeen",13,5,66,5,98.51,22.00,9.41,64.00,25,"Chennai Super Kings",2/34,"Kolkata Knight Riders",NULL,NULL,"Mumbai Indians"
"HV Patel",104,37,249,135,116.36,10.38,8.92,23.81,36,"Chennai Super Kings",5/27,"Mumbai Indians",NULL,NULL,"Delhi Capitals
Punjab Kings
Royal Challengers Bengaluru"
"I Malhotra",1,1,7,NULL,175.00,NULL,23.00,NULL,7,"Delhi Capitals",0/23,"Delhi Capitals",NULL,NULL,"Deccan Chargers"
"I Sharma",110,21,57,92,80.28,9.50,8.46,35.38,10,"Chennai Super Kings",5/12,"Kochi Tuskers Kerala",NULL,NULL,"Deccan Chargers
Delhi Capitals
Kolkata Knight Riders
Punjab Kings"
"I Udana",10,4,15,8,136.36,5.00,9.86,35.75,10,"Punjab Kings",2/41,"Rajasthan Royals",NULL,NULL,"Royal Challengers Bengaluru"
"IC Pandey",24,1,0,18,0.00,0.00,7.91,33.83,0,"Royal Challengers Bengaluru",2/23,"Delhi Capitals",NULL,NULL,"Pune Warriors"
"IC Porel",1,NULL,NULL,1,NULL,NULL,10.50,42.00,NULL,NULL,1/39,"Rajasthan Royals",NULL,NULL,NULL
"IK Pathan",102,83,1150,80,116.75,23.47,7.96,33.89,60,"Deccan Chargers",3/24,"Delhi Capitals",NULL,1,"Delhi Capitals
Gujarat Lions
Punjab Kings
Rising Pune Supergiant
Sunrisers Hyderabad"
"Imran Tahir",59,8,33,82,89.19,8.25,7.88,21.09,13,"Mumbai Indians",4/12,"Delhi Capitals",NULL,NULL,"Chennai Super Kings
Delhi Capitals
Rising Pune Supergiant"
"Iqbal Abdulla",48,13,88,40,102.33,88.00,7.34,28.13,33,"Gujarat Lions",3/24,"Deccan Chargers",NULL,NULL,"Kolkata Knight Riders
Royal Challengers Bengaluru"
"IR Jaggi",7,7,76,NULL,76.00,15.20,NULL,NULL,28,"Mumbai Indians",NULL,NULL,NULL,NULL,"Deccan Chargers
Kolkata Knight Riders"
"IS Sodhi",8,2,7,9,38.89,3.50,6.76,22.67,6,"Delhi Capitals",3/26,"Delhi Capitals",NULL,NULL,"Rajasthan Royals"
"Ishan Kishan",99,99,2644,NULL,132.80,29.05,NULL,NULL,99,"Royal Challengers Bengaluru",NULL,NULL,NULL,16,"Gujarat Lions
Mumbai Indians"
"J Arunkumar",3,3,23,NULL,95.83,7.67,NULL,NULL,22,"Kolkata Knight Riders",NULL,NULL,NULL,NULL,"Royal Challengers Bengaluru"
"J Botha",34,28,409,25,112.36,20.45,7.07,32.72,67,"Deccan Chargers",3/6,"Mumbai Indians",NULL,1,"Delhi Capitals
Kolkata Knight Riders
Rajasthan Royals"
"J Fraser-McGurk",9,9,330,NULL,220.00,41.25,NULL,NULL,84,"Mumbai Indians",NULL,NULL,NULL,4,"Delhi Capitals"
"J Little",11,NULL,NULL,11,NULL,NULL,8.97,31.00,NULL,NULL,4/45,"Royal Challengers Bengaluru",NULL,NULL,NULL
"J Suchith",21,9,70,19,112.90,17.50,8.63,31.79,34,"Punjab Kings",2/12,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals
Mumbai Indians
Sunrisers Hyderabad"
"J Syed Mohammad",11,5,29,8,107.41,14.50,8.94,35.75,13,"Delhi Capitals",2/15,"Chennai Super Kings",NULL,NULL,"Royal Challengers Bengaluru"
"J Theron",10,4,10,11,76.92,5.00,8.44,28.27,7,"Punjab Kings",4/26,"Chennai Super Kings",NULL,NULL,"Deccan Chargers
Punjab Kings
Rajasthan Royals"
"J Yadav",20,4,40,8,105.26,20.00,6.88,55.88,23,"Delhi Capitals",1/8,"Chennai Super Kings",NULL,NULL,"Delhi Capitals
Mumbai Indians"
"JA Morkel",90,68,975,85,136.94,25.66,8.39,28.34,73,"Chennai Super Kings",4/32,"Royal Challengers Bengaluru",NULL,3,"Chennai Super Kings
Delhi Capitals
Rising Pune Supergiant
Royal Challengers Bengaluru"
"JA Richardson",4,3,17,3,62.96,5.67,10.80,54.00,15,"Chennai Super Kings",2/41,"Delhi Capitals",NULL,NULL,"Delhi Capitals
Punjab Kings"
"Jalaj S Saxena",1,NULL,NULL,NULL,NULL,NULL,9.00,NULL,NULL,NULL,0/27,"Delhi Capitals",NULL,NULL,NULL
"Jaskaran Singh",7,4,8,6,72.73,8.00,10.24,29.00,4,"Kolkata Knight Riders",2/18,"Kolkata Knight Riders",NULL,NULL,"Deccan Chargers"
"JC Archer",40,23,199,48,150.76,15.31,7.67,25.21,27,"Chennai Super Kings",3/14,"Punjab Kings",NULL,NULL,"Mumbai Indians
Rajasthan Royals"
"JC Buttler",106,107,3583,NULL,142.24,38.95,NULL,NULL,124,"Sunrisers Hyderabad",NULL,NULL,7,19,"Mumbai Indians
Rajasthan Royals"
"JD Ryder",29,29,604,8,129.61,22.37,7.98,39.25,86,"Delhi Capitals",2/14,"Rajasthan Royals",NULL,4,"Pune Warriors
Royal Challengers Bengaluru"
"JD Unadkat",104,27,197,99,115.88,15.15,9.06,32.52,26,"Kolkata Knight Riders",5/25,"Delhi Capitals",NULL,NULL,"Delhi Capitals
Lucknow Super Giants
Mumbai Indians
Rajasthan Royals
Rising Pune Supergiant
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"JDP Oram",15,11,106,9,96.36,13.25,9.16,40.22,41,"Deccan Chargers",3/32,"Kolkata Knight Riders",NULL,NULL,"Chennai Super Kings
Rajasthan Royals"
"JDS Neesham",14,10,92,8,98.92,11.50,9.50,42.75,22,"Chennai Super Kings",3/12,"Rajasthan Royals",NULL,NULL,"Delhi Capitals
Mumbai Indians
Punjab Kings
Rajasthan Royals"
"JE Root",2,1,10,NULL,66.67,10.00,7.50,NULL,10,"Royal Challengers Bengaluru",0/14,"Kolkata Knight Riders",NULL,NULL,"Rajasthan Royals"
"JE Taylor",5,2,3,6,75.00,NULL,8.56,27.83,2,"Chennai Super Kings",3/30,"Chennai Super Kings",NULL,NULL,"Pune Warriors"
"JEC Franklin",19,16,327,9,105.83,29.73,8.94,25.00,79,"Punjab Kings",2/18,"Deccan Chargers",NULL,1,"Mumbai Indians"
"JH Kallis",98,95,2427,65,105.94,29.24,8.09,36.12,89,"Punjab Kings",3/13,"Sunrisers Hyderabad",NULL,17,"Kolkata Knight Riders
Royal Challengers Bengaluru"
"JJ Bumrah",133,26,68,168,85.00,11.33,7.49,22.86,16,"Rising Pune Supergiant",5/10,"Kolkata Knight Riders",NULL,NULL,"Mumbai Indians"
"JJ Roy",21,21,614,NULL,133.48,32.32,NULL,NULL,91,"Mumbai Indians",NULL,NULL,NULL,4,"Delhi Capitals
Gujarat Lions
Kolkata Knight Riders
Sunrisers Hyderabad"
"JJ van der Wath",3,3,18,3,105.88,9.00,11.17,44.67,14,"Chennai Super Kings",2/49,"Chennai Super Kings",NULL,NULL,"Royal Challengers Bengaluru"
"JL Denly",1,1,0,NULL,0.00,0.00,NULL,NULL,0,"Delhi Capitals",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"JL Pattinson",10,2,15,11,115.38,15.00,9.04,29.18,11,"Chennai Super Kings",2/19,"Rajasthan Royals",NULL,NULL,"Mumbai Indians"
"JM Bairstow",50,50,1589,NULL,140.37,35.31,NULL,NULL,114,"Royal Challengers Bengaluru",NULL,NULL,2,9,"Punjab Kings
Sunrisers Hyderabad"
"JM Kemp",5,2,26,3,104.00,13.00,7.91,19.33,22,"Deccan Chargers",3/12,"Kolkata Knight Riders",NULL,NULL,"Chennai Super Kings"
"JM Sharma",36,36,730,NULL,145.71,22.81,NULL,NULL,49,"Mumbai Indians",NULL,NULL,NULL,NULL,"Punjab Kings"
"JO Holder",46,27,259,53,119.35,12.33,8.98,28.09,47,"Punjab Kings",4/52,"Mumbai Indians",NULL,NULL,"Kolkata Knight Riders
Lucknow Super Giants
Rajasthan Royals
Sunrisers Hyderabad"
"Joginder Sharma",16,5,36,12,120.00,9.00,9.87,35.08,16,"Deccan Chargers",2/27,"Royal Challengers Bengaluru",NULL,NULL,"Chennai Super Kings"
"JP Behrendorff",17,2,6,19,66.67,NULL,9.23,29.63,3,"Gujarat Titans",3/23,"Delhi Capitals",NULL,NULL,"Mumbai Indians"
"JP Duminy",79,75,2029,23,120.77,42.27,7.50,36.83,78,"Mumbai Indians",4/17,"Sunrisers Hyderabad",NULL,14,"Deccan Chargers
Delhi Capitals
Mumbai Indians"
"JP Faulkner",60,46,527,61,129.80,20.27,8.96,30.31,46,"Punjab Kings",5/16,"Sunrisers Hyderabad",NULL,NULL,"Gujarat Lions
Punjab Kings
Rajasthan Royals"
"JPR Scantlebury-Searles",3,2,8,2,133.33,8.00,12.71,44.50,6,"Punjab Kings",1/24,"Sunrisers Hyderabad",NULL,NULL,"Kolkata Knight Riders"
"JR Hazlewood",27,6,19,35,65.52,NULL,8.26,23.71,7,"Chennai Super Kings",4/25,"Lucknow Super Giants",NULL,NULL,"Royal Challengers Bengaluru"
"JR Hopes",20,19,417,14,132.80,26.06,9.37,40.14,71,"Chennai Super Kings",2/2,"Delhi Capitals",NULL,4,"Delhi Capitals
Punjab Kings"
"JR Philippe",5,5,78,NULL,97.50,19.50,NULL,NULL,33,"Mumbai Indians",NULL,NULL,NULL,NULL,"Royal Challengers Bengaluru"
"JW Hastings",3,NULL,NULL,3,NULL,NULL,6.83,22.00,NULL,NULL,2/6,"Delhi Capitals",NULL,NULL,NULL
"K Goel",16,16,218,NULL,91.21,16.77,8.55,NULL,38,"Delhi Capitals",0/7,"Mumbai Indians",NULL,NULL,"Punjab Kings"
"K Gowtham",36,27,247,21,155.35,13.72,8.42,39.29,33,"Mumbai Indians",2/12,"Punjab Kings",NULL,NULL,"Lucknow Super Giants
Punjab Kings
Rajasthan Royals"
"K Kartikeya",12,2,9,10,69.23,4.50,8.56,33.40,6,"Gujarat Titans",2/22,"Chennai Super Kings",NULL,NULL,"Mumbai Indians"
"K Khejroliya",7,NULL,NULL,5,NULL,NULL,10.96,44.20,NULL,NULL,2/33,"Punjab Kings",NULL,NULL,NULL
"K Rabada",80,28,206,120,99.52,13.73,8.70,22.10,44,"Mumbai Indians",4/21,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals
Punjab Kings"
"K Santokie",2,NULL,NULL,3,NULL,NULL,11.38,30.33,NULL,NULL,2/50,"Rajasthan Royals",NULL,NULL,NULL
"K Upadhyay",3,2,12,NULL,133.33,NULL,9.00,NULL,11,"Royal Challengers Bengaluru",0/19,"Kolkata Knight Riders",NULL,NULL,"Pune Warriors"
"K Yadav",3,1,0,2,0.00,NULL,9.44,42.50,0,"Mumbai Indians",1/18,"Chennai Super Kings",NULL,NULL,"Rajasthan Royals"
"KA Jamieson",9,7,65,9,118.18,21.67,9.68,30.11,16,"Punjab Kings",3/41,"Kolkata Knight Riders",NULL,NULL,"Royal Challengers Bengaluru"
"KA Maharaj",2,1,1,2,50.00,1.00,6.50,19.50,1,"Punjab Kings",2/23,"Punjab Kings",NULL,NULL,"Rajasthan Royals"
"KA Pollard",179,172,3437,69,140.46,28.64,8.87,31.88,87,"Chennai Super Kings",4/44,"Rajasthan Royals",NULL,16,"Mumbai Indians"
"KAJ Roach",2,1,10,NULL,111.11,10.00,10.00,NULL,10,"Mumbai Indians",0/32,"Mumbai Indians",NULL,NULL,"Deccan Chargers"
"Kamran Akmal",6,6,128,NULL,164.10,32.00,NULL,NULL,53,"Chennai Super Kings",NULL,NULL,NULL,1,"Rajasthan Royals"
"Kamran Khan",9,1,3,10,60.00,3.00,8.96,24.80,3,"Royal Challengers Bengaluru",4/33,"Kolkata Knight Riders",NULL,NULL,"Rajasthan Royals"
"Karanveer Singh",9,4,12,12,70.59,12.00,9.50,26.92,5,"Rajasthan Royals",4/54,"Kolkata Knight Riders",NULL,NULL,"Punjab Kings"
"Kartik Tyagi",20,6,13,15,81.25,3.25,10.24,48.00,7,"Delhi Capitals",2/29,"Punjab Kings",NULL,NULL,"Rajasthan Royals
Sunrisers Hyderabad"
"KB Arun Karthik",8,8,51,NULL,96.23,10.20,NULL,NULL,19,"Mumbai Indians",NULL,NULL,NULL,NULL,"Chennai Super Kings
Royal Challengers Bengaluru"
"KC Cariappa",11,5,24,8,114.29,8.00,9.69,43.63,12,"Royal Challengers Bengaluru",2/16,"Royal Challengers Bengaluru",NULL,NULL,"Kolkata Knight Riders
Punjab Kings"
"KC Sangakkara",68,68,1687,NULL,118.47,25.95,NULL,NULL,94,"Mumbai Indians",NULL,NULL,NULL,10,"Deccan Chargers
Punjab Kings
Sunrisers Hyderabad"
"KD Karthik",233,235,4843,NULL,131.35,27.67,NULL,NULL,97,"Rajasthan Royals",NULL,NULL,NULL,22,"Delhi Capitals
Gujarat Lions
Kolkata Knight Riders
Mumbai Indians
Punjab Kings
Royal Challengers Bengaluru"
"KH Pandya",127,107,1647,76,127.97,23.20,7.48,34.79,86,"Delhi Capitals",3/11,"Gujarat Titans",NULL,1,"Lucknow Super Giants
Mumbai Indians"
"KJ Abbott",5,3,13,2,162.50,13.00,11.38,91.00,12,"Kolkata Knight Riders",1/38,"Rising Pune Supergiant",NULL,NULL,"Punjab Kings"
"KK Ahmed",57,5,1,74,14.29,0.20,9.02,25.92,1,"Mumbai Indians",3/21,"Punjab Kings",NULL,NULL,"Delhi Capitals
Sunrisers Hyderabad"
"KK Cooper",25,12,116,33,165.71,12.89,8.22,23.91,32,"Delhi Capitals",4/26,"Punjab Kings",NULL,NULL,"Rajasthan Royals"
"KK Nair",68,68,1496,NULL,125.50,24.52,NULL,NULL,83,"Sunrisers Hyderabad",NULL,NULL,NULL,10,"Delhi Capitals
Punjab Kings
Rajasthan Royals
Royal Challengers Bengaluru"
"KL Nagarkoti",12,7,22,5,64.71,5.50,9.57,57.40,8,"Rajasthan Royals",2/13,"Rajasthan Royals",NULL,NULL,"Kolkata Knight Riders"
"KL Rahul",122,124,4689,NULL,131.05,45.52,NULL,NULL,132,"Royal Challengers Bengaluru",NULL,NULL,4,37,"Lucknow Super Giants
Punjab Kings
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"KM Asif",7,1,0,7,0.00,0.00,10.39,33.14,0,"Royal Challengers Bengaluru",2/42,"Royal Challengers Bengaluru",NULL,NULL,"Rajasthan Royals"
"KM Jadhav",81,81,1208,NULL,119.37,23.69,NULL,NULL,69,"Delhi Capitals",NULL,NULL,NULL,4,"Chennai Super Kings
Delhi Capitals
Kochi Tuskers Kerala
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"KMA Paul",8,5,18,9,69.23,4.50,8.80,26.56,7,"Sunrisers Hyderabad",3/17,"Sunrisers Hyderabad",NULL,NULL,"Delhi Capitals"
"KMDN Kulasekara",5,1,5,5,166.67,NULL,7.18,24.40,5,"Punjab Kings",2/10,"Pune Warriors",NULL,NULL,"Chennai Super Kings"
"KP Appanna",13,3,2,9,50.00,2.00,8.08,32.33,1,"Deccan Chargers",4/19,"Rajasthan Royals",NULL,NULL,"Royal Challengers Bengaluru"
"KP Pietersen",36,36,1001,7,132.06,37.07,7.52,31.14,103,"Deccan Chargers",2/31,"Deccan Chargers",1,4,"Delhi Capitals
Rising Pune Supergiant
Royal Challengers Bengaluru"
"KR Mayers",13,13,379,NULL,137.32,29.15,8.43,NULL,73,"Delhi Capitals",0/4,"Punjab Kings",NULL,4,"Lucknow Super Giants"
"KR Sen",12,1,0,14,0.00,NULL,9.86,28.29,0,"Gujarat Titans",4/20,"Royal Challengers Bengaluru",NULL,NULL,"Rajasthan Royals"
"KS Bharat",8,8,199,NULL,118.45,28.43,NULL,NULL,78,"Delhi Capitals",NULL,NULL,NULL,1,"Delhi Capitals
Royal Challengers Bengaluru"
"KS Sharma",3,3,16,NULL,64.00,5.33,NULL,NULL,9,"Chennai Super Kings",NULL,NULL,NULL,NULL,"Lucknow Super Giants"
"KS Williamson",76,77,2132,NULL,122.95,36.76,10.33,NULL,89,"Delhi Capitals",0/7,"Kolkata Knight Riders",NULL,18,"Gujarat Titans
Sunrisers Hyderabad"
"KT Maphaka",2,NULL,NULL,1,NULL,NULL,15.00,90.00,NULL,NULL,1/23,"Rajasthan Royals",NULL,NULL,NULL
"Kuldeep Yadav",84,32,183,87,81.70,20.33,8.29,27.74,35,"Kolkata Knight Riders",4/14,"Kolkata Knight Riders",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders"
"Kumar Kushagra",3,3,3,NULL,42.86,1.00,NULL,NULL,2,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Delhi Capitals"
"KV Sharma",83,39,351,76,114.71,14.63,8.55,28.03,39,"Chennai Super Kings",4/16,"Kolkata Knight Riders",NULL,NULL,"Mumbai Indians
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"KW Richardson",15,4,36,19,92.31,12.00,8.58,25.21,26,"Chennai Super Kings",3/13,"Rising Pune Supergiant",NULL,NULL,"Pune Warriors
Rajasthan Royals
Royal Challengers Bengaluru"
"L Ablish",3,1,0,3,0.00,NULL,10.86,25.33,0,"Royal Challengers Bengaluru",2/17,"Mumbai Indians",NULL,NULL,"Punjab Kings"
"L Balaji",73,13,36,76,72.00,5.14,8.27,27.41,15,"Deccan Chargers",5/24,"Punjab Kings",NULL,NULL,"Chennai Super Kings
Kolkata Knight Riders
Punjab Kings"
"L Ngidi",14,NULL,NULL,25,NULL,NULL,8.52,18.40,NULL,NULL,4/10,"Punjab Kings",NULL,NULL,NULL
"L Ronchi",5,5,34,NULL,91.89,11.33,NULL,NULL,13,"Deccan Chargers",NULL,NULL,NULL,NULL,"Mumbai Indians"
"L Wood",2,1,9,1,300.00,NULL,15.67,94.00,9,"Delhi Capitals",1/68,"Delhi Capitals",NULL,NULL,"Mumbai Indians"
"LA Carseldine",5,5,81,1,114.08,27.00,6.00,6.00,39,"Deccan Chargers",1/6,"Royal Challengers Bengaluru",NULL,NULL,"Rajasthan Royals"
"LA Pomersbach",16,16,302,NULL,120.32,30.20,NULL,NULL,79,"Mumbai Indians",NULL,NULL,NULL,1,"Punjab Kings
Royal Challengers Bengaluru"
"Lalit Yadav",25,21,305,10,101.33,20.33,8.96,43.00,48,"Mumbai Indians",2/11,"Punjab Kings",NULL,NULL,"Delhi Capitals"
"LB Williams",2,1,1,1,50.00,NULL,12.00,74.00,1,"Kolkata Knight Riders",1/37,"Kolkata Knight Riders",NULL,NULL,"Delhi Capitals"
"LE Plunkett",7,2,1,4,33.33,1.00,9.12,57.00,1,"Rajasthan Royals",3/17,"Punjab Kings",NULL,NULL,"Delhi Capitals"
"LH Ferguson",45,7,68,48,141.67,22.67,9.09,30.23,24,"Punjab Kings",5/17,"Sunrisers Hyderabad",NULL,NULL,"Gujarat Titans
Kolkata Knight Riders
Rising Pune Supergiant
Royal Challengers Bengaluru"
"LI Meriwala",1,NULL,NULL,1,NULL,NULL,10.67,32.00,NULL,NULL,1/32,"Punjab Kings",NULL,NULL,NULL
"Liton Das",1,1,4,NULL,100.00,4.00,NULL,NULL,4,"Delhi Capitals",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"LJ Wright",7,5,106,2,168.25,26.50,10.56,62.50,44,"Delhi Capitals",1/12,"Chennai Super Kings",NULL,NULL,"Pune Warriors"
"LMP Simmons",29,29,1079,1,122.89,41.50,11.33,34.00,100,"Punjab Kings",1/34,"Kolkata Knight Riders",1,11,"Mumbai Indians"
"LPC Silva",3,3,40,NULL,148.15,20.00,21.00,NULL,23,"Punjab Kings",0/21,"Royal Challengers Bengaluru",NULL,NULL,"Deccan Chargers"
"LR Shukla",43,33,405,15,113.13,15.00,8.75,30.53,48,"Rajasthan Royals",3/6,"Delhi Capitals",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders"
"LRPL Taylor",54,54,1017,NULL,120.07,26.76,12.00,NULL,81,"Kolkata Knight Riders",0/11,"Royal Challengers Bengaluru",NULL,3,"Delhi Capitals
Pune Warriors
Rajasthan Royals
Royal Challengers Bengaluru"
"LS Livingstone",39,39,939,11,154.19,29.34,9.19,35.91,94,"Delhi Capitals",3/27,"Delhi Capitals",NULL,6,"Punjab Kings
Rajasthan Royals"
"M Ashwin",44,12,35,35,70.00,4.38,8.15,33.77,9,"Sunrisers Hyderabad",3/21,"Royal Challengers Bengaluru",NULL,NULL,"Mumbai Indians
Punjab Kings
Rising Pune Supergiant
Royal Challengers Bengaluru"
"M de Lange",5,1,1,5,50.00,1.00,9.50,34.20,1,"Delhi Capitals",3/34,"Pune Warriors",NULL,NULL,"Mumbai Indians"
"M Jansen",21,12,66,20,92.96,9.43,9.74,36.60,17,"Mumbai Indians",3/25,"Royal Challengers Bengaluru",NULL,NULL,"Mumbai Indians
Sunrisers Hyderabad"
"M Kaif",22,22,259,NULL,100.39,16.19,NULL,NULL,34,"Kolkata Knight Riders",NULL,NULL,NULL,NULL,"Punjab Kings
Rajasthan Royals
Royal Challengers Bengaluru"
"M Kartik",55,14,113,31,103.67,18.83,7.40,45.74,21,"Chennai Super Kings",3/17,"Deccan Chargers",NULL,NULL,"Kolkata Knight Riders
Pune Warriors
Royal Challengers Bengaluru"
"M Klinger",4,4,73,NULL,93.59,18.25,NULL,NULL,29,"Kolkata Knight Riders",NULL,NULL,NULL,NULL,"Kochi Tuskers Kerala"
"M Manhas",38,38,514,NULL,105.76,22.35,6.00,NULL,42,"Mumbai Indians",0/9,"Royal Challengers Bengaluru",NULL,NULL,"Chennai Super Kings
Delhi Capitals
Pune Warriors"
"M Markande",37,10,48,37,109.09,16.00,9.01,29.22,18,"Gujarat Titans",4/15,"Punjab Kings",NULL,NULL,"Mumbai Indians
Sunrisers Hyderabad"
"M Morkel",70,20,126,77,135.48,12.60,7.87,27.74,23,"Mumbai Indians",4/20,"Punjab Kings",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders
Rajasthan Royals"
"M Muralitharan",66,9,20,64,66.67,3.33,6.93,27.58,6,"Rajasthan Royals",4/26,"Punjab Kings",NULL,NULL,"Chennai Super Kings
Kochi Tuskers Kerala
Royal Challengers Bengaluru"
"M Ntini",9,2,11,7,57.89,11.00,7.34,36.71,11,"Rajasthan Royals",4/21,"Kolkata Knight Riders",NULL,NULL,"Chennai Super Kings"
"M Pathirana",20,NULL,NULL,34,NULL,NULL,8.21,18.15,NULL,NULL,4/28,"Mumbai Indians",NULL,NULL,NULL
"M Prasidh Krishna",51,7,9,50,37.50,4.50,9.07,34.82,4,"Gujarat Titans",4/30,"Sunrisers Hyderabad",NULL,NULL,"Kolkata Knight Riders
Rajasthan Royals"
"M Rawat",11,11,55,NULL,78.57,11.00,NULL,NULL,23,"Punjab Kings",NULL,NULL,NULL,NULL,"Pune Warriors
Rajasthan Royals"
"M Shahrukh Khan",37,37,553,NULL,133.90,22.12,8.00,NULL,58,"Royal Challengers Bengaluru",0/7,"Punjab Kings",NULL,1,"Gujarat Titans
Punjab Kings"
"M Siddharth",3,NULL,NULL,1,NULL,NULL,7.85,72.00,NULL,NULL,1/21,"Royal Challengers Bengaluru",NULL,NULL,NULL
"M Theekshana",27,2,7,25,100.00,7.00,7.83,32.56,7,"Royal Challengers Bengaluru",4/33,"Royal Challengers Bengaluru",NULL,NULL,"Chennai Super Kings"
"M Vijay",105,105,2619,NULL,118.61,28.16,8.17,NULL,127,"Rajasthan Royals",0/8,"Sunrisers Hyderabad",2,13,"Chennai Super Kings
Delhi Capitals
Punjab Kings"
"M Vohra",51,51,1083,NULL,125.49,23.04,NULL,NULL,95,"Sunrisers Hyderabad",NULL,NULL,NULL,3,"Lucknow Super Giants
Punjab Kings
Rajasthan Royals
Royal Challengers Bengaluru"
"MA Agarwal",121,122,2669,NULL,128.26,23.41,NULL,NULL,106,"Rajasthan Royals",NULL,NULL,1,13,"Delhi Capitals
Punjab Kings
Rising Pune Supergiant
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"MA Khote",3,3,24,2,109.09,12.00,10.40,26.00,9,"Chennai Super Kings",2/29,"Chennai Super Kings",NULL,NULL,"Mumbai Indians"
"MA Starc",39,16,105,51,96.33,13.13,8.48,23.04,29,"Punjab Kings",4/15,"Punjab Kings",NULL,NULL,"Kolkata Knight Riders
Royal Challengers Bengaluru"
"MA Wood",5,3,12,11,120.00,6.00,9.60,17.45,10,"Chennai Super Kings",5/14,"Delhi Capitals",NULL,NULL,"Chennai Super Kings
Lucknow Super Giants"
"Mandeep Singh",97,97,1706,NULL,120.31,21.33,13.00,NULL,77,"Pune Warriors",0/8,"Rajasthan Royals",NULL,6,"Delhi Capitals
Kolkata Knight Riders
Punjab Kings
Royal Challengers Bengaluru"
"Mashrafe Mortaza",1,1,2,NULL,100.00,NULL,14.75,NULL,2,"Deccan Chargers",0/58,"Deccan Chargers",NULL,NULL,"Kolkata Knight Riders"
"Mayank Dagar",8,1,0,2,0.00,NULL,8.98,102.50,0,"Lucknow Super Giants",1/23,"Kolkata Knight Riders",NULL,NULL,"Royal Challengers Bengaluru"
"MB Parmar",1,NULL,NULL,NULL,NULL,NULL,11.00,NULL,NULL,NULL,0/33,"Deccan Chargers",NULL,NULL,NULL
"MC Henriques",62,54,1000,42,124.84,27.78,8.22,31.00,74,"Delhi Capitals",3/12,"Royal Challengers Bengaluru",NULL,5,"Delhi Capitals
Kolkata Knight Riders
Punjab Kings
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"MC Juneja",7,7,125,NULL,93.28,17.86,NULL,NULL,49,"Mumbai Indians",NULL,NULL,NULL,NULL,"Delhi Capitals"
"MD Mishra",17,17,237,NULL,111.27,15.80,NULL,NULL,41,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Deccan Chargers
Pune Warriors"
"MD Shanaka",3,3,26,NULL,100.00,13.00,NULL,NULL,17,"Chennai Super Kings",NULL,NULL,NULL,NULL,"Gujarat Titans"
"MDKJ Perera",2,2,14,NULL,107.69,7.00,NULL,NULL,14,"Delhi Capitals",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"MEK Hussey",58,58,1977,NULL,119.96,40.35,NULL,NULL,116,"Punjab Kings",NULL,NULL,1,15,"Chennai Super Kings
Mumbai Indians"
"MF Maharoof",20,14,177,27,142.74,17.70,7.60,19.70,39,"Rajasthan Royals",3/34,"Rajasthan Royals",NULL,NULL,"Delhi Capitals"
"MG Bracewell",5,4,58,6,118.37,29.00,8.64,15.83,26,"Gujarat Titans",2/13,"Sunrisers Hyderabad",NULL,NULL,"Royal Challengers Bengaluru"
"MG Johnson",54,28,167,62,99.40,12.85,8.45,28.06,16,"Royal Challengers Bengaluru",3/26,"Rising Pune Supergiant",NULL,NULL,"Kolkata Knight Riders
Mumbai Indians
Punjab Kings"
